date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:17	4015/4015	---M--	200	added ('OK')	image/jpeg	etag:%2262581bd7-faf%22	https://dynamex.az/frontend/web/uploads//images/store/mlogo5.jpg	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/store/mlogo5.jpg	(from https://dynamex.az/)
05:47:17	3952/3952	---M--	200	added ('OK')	image/jpeg	etag:%2262581bd8-f70%22	https://dynamex.az/frontend/web/uploads//images/store/mlogo6.jpg	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/store/mlogo6.jpg	(from https://dynamex.az/)
05:47:17	2881/2881	---M--	200	added ('OK')	image/png	etag:%2262581bd8-b41%22	https://dynamex.az/frontend/web/uploads//images/store/mlogo7.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/store/mlogo7.png	(from https://dynamex.az/)
05:47:18	5522/5522	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261acae82-1592%22	https://dynamex.az/images/logo-white.svg	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/logo-white.svg	(from https://dynamex.az/)
05:47:18	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2013%20Aug%202022%2012:47:19%20GMT	https://dynamex.az/az/menu/sertler-55.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/menu/sertler-55.html	(from https://dynamex.az/)
05:47:18	31856/31856	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:19%20GMT	https://dynamex.az/az/menu/gizlilik-siyaseti-56.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/menu/gizlilik-siyaseti-56.html	(from https://dynamex.az/)
05:47:19	72719/72719	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:19%20GMT	https://dynamex.az/page/user-agreement-5.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/page/user-agreement-5.html	(from https://dynamex.az/)
05:47:19	4688/4688	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:19%20GMT	https://dynamex.az/cdn-cgi/l/email-protection	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/cdn-cgi/l/email-protection.html	(from https://dynamex.az/)
05:47:19	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262f29387-4d7%22	https://dynamex.az/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://dynamex.az/)
05:47:19	11024/11024	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2013%20Aug%202022%2012:47:20%20GMT	https://kit.fontawesome.com/dda89fe92b.js	C:/Users/lenovo/Desktop/dynamex/dynamex/kit.fontawesome.com/dda89fe92b.js	(from https://dynamex.az/)
05:47:20	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/Users/lenovo/Desktop/dynamex/dynamex/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://dynamex.az/)
05:47:20	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-e2d8%22	https://dynamex.az/js/bootstrap.min.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/bootstrap.min.js	(from https://dynamex.az/)
05:47:20	41730/41730	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-a302%22	https://dynamex.az/js/jquery.magnific-popup.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/jquery.magnific-popup.js	(from https://dynamex.az/)
05:47:20	57898/57898	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-e22a%22	https://dynamex.az/js/bootstrap-datepicker.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/bootstrap-datepicker.js	(from https://dynamex.az/)
05:47:21	531/531	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-213%22	https://dynamex.az/js/bootstrap-datepicker.az.min.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/bootstrap-datepicker.az.min.js	(from https://dynamex.az/)
05:47:21	92949/92949	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-16b15%22	https://dynamex.az/js/jquery.mCustomScrollbar.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/jquery.mCustomScrollbar.js	(from https://dynamex.az/)
05:47:21	89992/89992	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-15f88%22	https://dynamex.az/js/owl.carousel.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/owl.carousel.js	(from https://dynamex.az/)
05:47:21	76113/76113	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261acae82-12951%22	https://dynamex.az/js/select2.full.min.js	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/js/select2.full.min.js	(from https://dynamex.az/)
